source,strategy,T,n,mean,std,ci_low,ci_high
ablation,cerm,861,19,0.022857205749014925,0.031223867969761027,0.00881724244327683,0.03689716905475302
ablation,cerm,862,19,0.022979373727655676,0.03145125683010536,0.008837163920668602,0.037121583534642746
ablation,cerm,863,19,0.02310154170629643,0.03168435640226496,0.008854517548862018,0.037348565863730844
ablation,cerm,864,19,0.02322370968493719,0.031923041588961525,0.008869359578453528,0.03757805979142085
ablation,cerm,865,19,0.02323142969735073,0.03174556347217204,0.00895688348478915,0.03750597590991231
ablation,cerm,866,19,0.023239149709764272,0.031570533018349424,0.009043306787628982,0.03743499263189956
ablation,cerm,867,19,0.02324686972217781,0.03139799116156206,0.009128611080771114,0.03736512836358451
ablation,cerm,868,19,0.023254589734591356,0.0312279791520716,0.009212777815835823,0.03729640165334689
ablation,cerm,869,19,0.023262309747004897,0.031060538531789153,0.00929578831330177,0.03722883118070802
ablation,cerm,870,19,0.02327002975941844,0.03089571110800251,0.009377623774319725,0.03716243574451715
ablation,cerm,871,19,0.02327774977183198,0.030733538925340042,0.009458265293319112,0.03709723425034485
ablation,cerm,872,19,0.023285469784245522,0.030574064235941615,0.00953769387142081,0.037033245697070234
ablation,cerm,873,19,0.023293189796659064,0.03041732946781206,0.009615890430667162,0.036970489162650964
ablation,cerm,874,19,0.023300909809072613,0.03026337719133841,0.009692835829077671,0.036908983789067554
ablation,cerm,875,19,0.023308629821486154,0.030112250083958646,0.00976851087653585,0.03684874876643646
ablation,cerm,876,19,0.023316349833899696,0.029963990892976244,0.009842896351509868,0.036789803316289525
ablation,cerm,877,19,0.023324069846313234,0.029818642396522863,0.009915973018605842,0.03673216667402063
ablation,cerm,878,19,0.023331789858726776,0.02967624736267894,0.009987721646949485,0.03667585807050407
ablation,cerm,879,19,0.02333950987114032,0.02953684850677129,0.010058123029387422,0.03662089671289322
ablation,cerm,880,19,0.023347229883553863,0.029400488446875452,0.010127158002495772,0.036567301764611954
ablation,cerm,881,19,0.023440226496529052,0.029426494623787765,0.010208460812194408,0.0366719921808637
ablation,cerm,882,19,0.023533223109504238,0.02945341713292298,0.010289351588675446,0.03677709463033303
ablation,cerm,883,19,0.023626219722479424,0.02948125346387614,0.01036983146075462,0.03688260798420423
ablation,cerm,884,19,0.023719216335454606,0.029510001030665083,0.010449901591231322,0.036988531079677894
ablation,cerm,885,19,0.023812212948429792,0.029539657172885352,0.010529563176369293,0.03709486272049029
ablation,cerm,886,19,0.023905209561404978,0.029570219156890554,0.010608817445365853,0.0372016016774441
ablation,cerm,887,19,0.02399820617438017,0.029601684176997,0.010687665659810261,0.03730874668895008
ablation,cerm,888,19,0.024091202787355354,0.029634049356711437,0.010766109113131606,0.0374162964615791
ablation,cerm,889,19,0.02418419940033054,0.02966731174998068,0.010844149130036966,0.037524249670624114
ablation,cerm,890,19,0.024277196013305725,0.02970146834246198,0.010921787065940148,0.037632604960671306
ablation,cerm,891,19,0.02437019262628091,0.02973651605281288,0.01099902430638169,0.037741360946180136
ablation,cerm,892,19,0.024463189239256097,0.029772451733999374,0.011075862266440662,0.037850516212071535
ablation,cerm,893,19,0.024556185852231283,0.029809272174621166,0.011152302390138744,0.03796006931432382
